N,avg_throughput,avg_cycle_time_hrs,max_cycle_time_hrs,avg_energy_per_PCB,RFO_OFF,RFO_setup,RFO_ON_empty,RFO_ON_occupied
4,40.314299306113746,0.8177137586805553,1.7479166666666666,1384.90005859375,53.27231071231334,29.974355188836576,0.0,16.753334098850083
8,40.3973546220145,0.8944574652777778,1.695138888888889,1298.0701953125,57.388483729391204,31.43441073493071,0.0,11.177105535678084
16,40.58235860740333,1.0557204861111111,1.6015277777777779,1232.6165625,60.06109811476538,31.528828952800332,0.0,8.410072932434293
32,40.963868809832036,1.3578211805555567,1.83125,1157.40859375,62.594800620058564,30.33842085085814,0.0,7.066778529083302
64,40.908863920099876,1.9415277777777777,2.6479166666666667,1060.6819140625,66.14953530309336,27.45900957136912,0.0,6.391455125537522
128,40.330618295598136,3.0258680555555557,4.438194444444444,910.052421875,71.88267536062229,22.166304722415198,0.0,5.951019916962513
256,39.67561226301883,4.880000000000006,7.923472222222222,688.5377734375,79.86352898125676,14.454304272253223,0.0,5.682166746490015
512,39.01220718885426,8.18638888888889,14.48986111111111,487.609921875,86.89804060596761,7.5994645134321415,0.0,5.502494880600254
1024,37.975739782121614,14.672361111111112,26.964583333333334,373.1362890625,90.97633212289783,3.7085683380978134,0.0,5.315099539004352
